dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken
pubmed,pagerank,256,10,10,0.25,0.5,0.8073874690848092,0.8197261663286004,0.8197261663286004,00:05:56.896
pubmed,pagerank,256,10,10,0.25,0.5,0.8024458882347183,0.8156693711967545,0.8156693711967545,00:05:58.078
pubmed,pagerank,256,10,10,0.25,0.5,0.8100973093803724,0.821501014198783,0.821501014198783,00:05:57.292
pubmed,pagerank,256,10,10,0.25,0.5,0.8011909790607818,0.8144016227180527,0.8144016227180527,00:05:59.192
pubmed,pagerank,256,10,10,0.25,0.5,0.8117376284340088,0.8237829614604463,0.8237829614604463,00:05:58.103
pubmed,pagerank,256,10,10,0.25,0.5,0.798505296821035,0.8121196754563893,0.8121196754563894,00:05:58.054
pubmed,pagerank,256,10,10,0.25,0.5,0.8090313386820708,0.8197261663286004,0.8197261663286004,00:06:04.954
pubmed,pagerank,256,10,10,0.25,0.5,0.8047083476915287,0.8179513184584178,0.8179513184584178,00:06:07.518
pubmed,pagerank,256,10,10,0.25,0.5,0.8037356616033317,0.8174442190669371,0.8174442190669371,00:05:58.338
pubmed,pagerank,256,10,10,0.25,0.5,0.8066112029912276,0.8197261663286004,0.8197261663286004,00:05:58.975
pubmed,pagerank,256,10,10,0.25,0.5,0.8022743936924681,0.8146551724137931,0.8146551724137931,00:06:08.020
pubmed,pagerank,256,10,10,0.25,0.5,0.8107053257154035,0.822261663286004,0.822261663286004,00:05:49.400
pubmed,pagerank,256,10,10,0.25,0.5,0.8088693019223107,0.821501014198783,0.821501014198783,00:05:55.227
pubmed,pagerank,256,10,10,0.25,0.5,0.8090128211761692,0.8227687626774848,0.8227687626774848,00:05:55.653
pubmed,pagerank,256,10,10,0.25,0.5,0.8080243562892404,0.8217545638945233,0.8217545638945233,00:05:55.124
pubmed,pagerank,256,10,10,0.25,0.5,0.802720392376202,0.8164300202839757,0.8164300202839757,00:05:54.936
pubmed,pagerank,256,10,10,0.25,0.5,0.8093563961059332,0.821501014198783,0.821501014198783,00:05:52.917
pubmed,pagerank,256,10,10,0.25,0.5,0.7994239340523831,0.8136409736308317,0.8136409736308317,00:05:53.287
pubmed,pagerank,256,10,10,0.25,0.5,0.8058634634423057,0.8202332657200812,0.8202332657200812,00:05:51.287
pubmed,pagerank,256,10,10,0.25,0.5,0.7988904622504908,0.8133874239350912,0.8133874239350912,00:05:52.152
pubmed,pagerank,256,10,10,0.25,0.5,0.8054635820255838,0.8179513184584178,0.8179513184584178,00:05:51.912
pubmed,pagerank,256,10,10,0.25,0.5,0.806816635829756,0.8199797160243407,0.8199797160243407,00:05:52.637
pubmed,pagerank,256,10,10,0.25,0.5,0.8025633442026076,0.8161764705882353,0.8161764705882353,00:05:56.044
pubmed,pagerank,256,10,10,0.25,0.5,0.8097022017280738,0.8217545638945233,0.8217545638945233,00:05:52.297
pubmed,pagerank,256,10,10,0.25,0.5,0.8059549009007468,0.8184584178498986,0.8184584178498986,00:05:54.703
pubmed,pagerank,256,10,10,0.25,0.5,0.8027167223912639,0.8161764705882353,0.8161764705882353,00:05:52.439
pubmed,pagerank,256,10,10,0.25,0.5,0.8088898406715409,0.8217545638945233,0.8217545638945233,00:05:54.224
pubmed,pagerank,256,10,10,0.25,0.5,0.8099131715906748,0.8227687626774848,0.8227687626774848,00:05:53.431
pubmed,pagerank,256,10,10,0.25,0.5,0.8019320673208178,0.8154158215010142,0.8154158215010142,00:05:55.209
pubmed,pagerank,256,10,10,0.25,0.5,0.8024428585082793,0.8161764705882353,0.8161764705882353,00:05:51.801
pubmed,pagerank,256,10,10,0.25,0.5,0.8110395288450881,0.8235294117647058,0.8235294117647058,00:05:55.615
pubmed,pagerank,256,10,10,0.25,0.5,0.8022154056374121,0.816683569979716,0.816683569979716,00:06:03.584
pubmed,pagerank,256,10,10,0.25,0.5,0.801380420549516,0.8151622718052738,0.8151622718052738,00:05:46.812
pubmed,pagerank,256,10,10,0.25,0.5,0.8019481557440432,0.8161764705882353,0.8161764705882353,00:05:48.470
pubmed,pagerank,256,10,10,0.25,0.5,0.8055414945924726,0.8194726166328601,0.8194726166328601,00:05:44.909
pubmed,pagerank,256,10,10,0.25,0.5,0.8048375811891804,0.818204868154158,0.8182048681541582,00:05:49.363
pubmed,pagerank,256,10,10,0.25,0.5,0.8098353006156932,0.822261663286004,0.822261663286004,00:05:53.505
pubmed,pagerank,256,10,10,0.25,0.5,0.8049983799210554,0.8176977687626775,0.8176977687626775,00:05:43.777
pubmed,pagerank,256,10,10,0.25,0.5,0.8027058531790598,0.8156693711967545,0.8156693711967545,00:05:44.961
pubmed,pagerank,256,10,10,0.25,0.5,0.8037742516838975,0.8164300202839757,0.8164300202839757,00:05:48.906
pubmed,pagerank,256,10,10,0.25,0.5,0.8074088825422402,0.8204868154158215,0.8204868154158215,00:05:47.336
pubmed,pagerank,256,10,10,0.25,0.5,0.8076736294731098,0.8189655172413793,0.8189655172413793,00:05:51.432
pubmed,pagerank,256,10,10,0.25,0.5,0.8056330549161915,0.8192190669371197,0.8192190669371197,00:05:50.449
pubmed,pagerank,256,10,10,0.25,0.5,0.8129149563860875,0.8260649087221096,0.8260649087221096,00:05:50.470
pubmed,pagerank,256,10,10,0.25,0.5,0.8080352925784045,0.8212474645030426,0.8212474645030426,00:05:49.943
pubmed,pagerank,256,10,10,0.25,0.5,0.8052624654326577,0.8192190669371197,0.8192190669371197,00:05:55.681
pubmed,pagerank,256,10,10,0.25,0.5,0.8067107258553863,0.8207403651115619,0.8207403651115619,00:05:51.632
pubmed,pagerank,256,10,10,0.25,0.5,0.8036354543705801,0.8176977687626775,0.8176977687626775,00:05:54.277
pubmed,pagerank,256,10,10,0.25,0.5,0.8045013135731415,0.8187119675456389,0.8187119675456389,00:05:51.405
pubmed,pagerank,256,10,10,0.25,0.5,0.8067068945287467,0.8199797160243407,0.8199797160243407,00:05:56.732
pubmed,pagerank,256,10,10,0.25,0.5,0.8107912750366125,0.8235294117647058,0.8235294117647058,00:05:53.005
pubmed,pagerank,256,10,10,0.25,0.5,0.8096822164726456,0.8225152129817445,0.8225152129817445,00:05:53.245
pubmed,pagerank,256,10,10,0.25,0.5,0.8089134638831461,0.8217545638945233,0.8217545638945233,00:05:56.118
pubmed,pagerank,256,10,10,0.25,0.5,0.8085686328681132,0.8220081135902637,0.8220081135902637,00:05:50.367
pubmed,pagerank,256,10,10,0.25,0.5,0.8075780072568914,0.8199797160243407,0.8199797160243407,00:05:53.128
pubmed,pagerank,256,10,10,0.25,0.5,0.8062307001507883,0.8184584178498986,0.8184584178498986,00:05:55.166
pubmed,pagerank,256,10,10,0.25,0.5,0.8130605618563377,0.8245436105476673,0.8245436105476673,00:05:53.605
pubmed,pagerank,256,10,10,0.25,0.75,0.8059053111410658,0.8192190669371197,0.8192190669371197,00:06:02.871
pubmed,pagerank,256,10,10,0.25,0.75,0.8116826070100337,0.8235294117647058,0.8235294117647058,00:06:05.387
pubmed,pagerank,256,10,10,0.25,0.75,0.8030525363673048,0.816683569979716,0.816683569979716,00:05:56.539
pubmed,pagerank,256,10,10,0.25,0.75,0.8029455563667544,0.8176977687626775,0.8176977687626775,00:06:00.344
pubmed,pagerank,256,10,10,0.25,0.75,0.8056346246046738,0.8187119675456389,0.8187119675456389,00:05:58.568
pubmed,pagerank,256,10,10,0.25,0.75,0.802339665345989,0.815922920892495,0.815922920892495,00:05:55.094
pubmed,pagerank,256,10,10,0.25,0.75,0.8080826374548867,0.8209939148073022,0.8209939148073022,00:06:03.447
pubmed,pagerank,256,10,10,0.25,0.75,0.8055122262696259,0.8192190669371197,0.8192190669371197,00:05:53.552
pubmed,pagerank,256,10,10,0.25,0.75,0.8013888267711011,0.8154158215010142,0.8154158215010142,00:06:04.345
pubmed,pagerank,256,10,10,0.25,0.75,0.8077226844550319,0.822261663286004,0.822261663286004,00:05:55.329
pubmed,pagerank,256,10,10,0.25,0.75,0.8067472971304293,0.8204868154158215,0.8204868154158215,00:06:04.978
pubmed,pagerank,256,10,10,0.25,0.75,0.8031803533806845,0.8161764705882353,0.8161764705882353,00:05:57.652
pubmed,pagerank,256,10,10,0.25,0.75,0.8128527270033038,0.825811359026369,0.8258113590263692,00:05:57.799
pubmed,pagerank,256,10,10,0.25,0.75,0.8149201379564115,0.8275862068965517,0.8275862068965517,00:05:55.902
pubmed,pagerank,256,10,10,0.25,0.75,0.8035935166003004,0.8169371196754563,0.8169371196754563,00:05:57.057
pubmed,pagerank,256,10,10,0.25,0.75,0.8048655522556908,0.8194726166328601,0.8194726166328601,00:06:02.545
pubmed,pagerank,256,10,10,0.25,0.75,0.8099627852921332,0.8225152129817445,0.8225152129817445,00:06:00.245
pubmed,pagerank,256,10,10,0.25,0.75,0.8107872398680415,0.8250507099391481,0.8250507099391481,00:05:55.604
pubmed,pagerank,256,10,10,0.25,0.75,0.8012774116307854,0.813894523326572,0.813894523326572,00:06:02.819
pubmed,pagerank,256,10,10,0.25,0.75,0.8014174053214179,0.8151622718052738,0.8151622718052738,00:05:55.519
pubmed,pagerank,256,10,10,0.25,0.75,0.8064157608738669,0.8194726166328601,0.8194726166328601,00:05:58.349
pubmed,pagerank,256,10,10,0.25,0.75,0.8058581889678901,0.8184584178498986,0.8184584178498986,00:06:05.530
pubmed,pagerank,256,10,10,0.25,0.75,0.807127238672768,0.8202332657200812,0.8202332657200812,00:05:57.899
pubmed,pagerank,256,10,10,0.25,0.75,0.8105270352984131,0.8230223123732252,0.8230223123732252,00:05:59.038
pubmed,pagerank,256,10,10,0.25,0.75,0.8013705539674616,0.8154158215010142,0.8154158215010142,00:06:02.462
pubmed,pagerank,256,10,10,0.25,0.75,0.8043342785196829,0.818204868154158,0.8182048681541582,00:06:05.186
pubmed,pagerank,256,10,10,0.25,0.75,0.8113877488254811,0.8227687626774848,0.8227687626774848,00:05:59.710
pubmed,pagerank,256,10,10,0.25,0.75,0.8030159516466261,0.8161764705882353,0.8161764705882353,00:06:00.481
pubmed,pagerank,256,10,10,0.25,0.75,0.8015610500074212,0.8151622718052738,0.8151622718052738,00:05:59.018
pubmed,pagerank,256,10,10,0.25,0.75,0.811248325542257,0.8253042596348884,0.8253042596348884,00:05:59.700
pubmed,pagerank,256,10,10,0.25,0.75,0.8057469218724392,0.8187119675456389,0.8187119675456389,00:06:00.795
pubmed,pagerank,256,10,10,0.25,0.75,0.7989655140652211,0.8133874239350912,0.8133874239350912,00:05:58.364
pubmed,pagerank,256,10,10,0.25,0.75,0.8058729329568118,0.8192190669371197,0.8192190669371197,00:05:57.939
pubmed,pagerank,256,10,10,0.25,0.75,0.8131011502193376,0.8265720081135903,0.8265720081135902,00:05:59.511
