dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken
pubmed,node2vec,256,10,10,0.5,0.25,0.7755613484644147,0.7882860040567952,0.7882860040567952,00:02:24.678
pubmed,node2vec,256,10,10,0.5,0.25,0.7749939753681003,0.7890466531440163,0.7890466531440162,00:02:20.355
pubmed,node2vec,256,10,10,0.5,0.25,0.7850656187911813,0.7981744421906694,0.7981744421906694,00:02:21.245
pubmed,node2vec,256,10,10,0.5,0.25,0.7815462704277611,0.7941176470588235,0.7941176470588235,00:02:21.490
pubmed,node2vec,256,10,10,0.5,0.25,0.7882647582195772,0.8009634888438134,0.8009634888438134,00:02:16.506
pubmed,node2vec,256,10,10,0.5,0.25,0.7802759193757282,0.7928498985801218,0.7928498985801217,00:02:14.150
pubmed,node2vec,256,10,10,0.5,0.25,0.7836042420266565,0.7969066937119675,0.7969066937119675,00:02:14.268
pubmed,node2vec,256,10,10,0.5,0.25,0.7792893552271892,0.7925963488843814,0.7925963488843814,00:02:15.270
pubmed,node2vec,256,10,10,0.5,0.25,0.7758204200113824,0.789553752535497,0.789553752535497,00:02:19.274
pubmed,node2vec,256,10,10,0.5,0.25,0.775870020947221,0.7905679513184585,0.7905679513184585,00:02:17.265
pubmed,node2vec,256,10,10,0.5,0.25,0.7763296798775285,0.7900608519269777,0.7900608519269777,00:02:14.188
pubmed,node2vec,256,10,10,0.5,0.25,0.7710560503038715,0.7844827586206896,0.7844827586206896,00:02:16.472
pubmed,node2vec,256,10,10,0.5,0.25,0.7791948353380193,0.7936105476673428,0.7936105476673428,00:02:09.922
pubmed,node2vec,256,10,10,0.5,0.25,0.7834732339743061,0.7941176470588235,0.7941176470588235,00:02:15.095
pubmed,node2vec,256,10,10,0.5,0.25,0.7771371178689175,0.7900608519269777,0.7900608519269777,00:02:18.959
pubmed,node2vec,256,10,10,0.5,0.25,0.7815675199894613,0.7933569979716025,0.7933569979716024,00:02:15.819
pubmed,node2vec,256,10,10,0.5,0.25,0.7766403514875532,0.7920892494929005,0.7920892494929006,00:02:15.137
pubmed,node2vec,256,10,10,0.5,0.25,0.7810720014182867,0.7936105476673428,0.7936105476673428,00:02:15.679
pubmed,node2vec,256,10,10,0.5,0.25,0.7862900098361019,0.7989350912778904,0.7989350912778904,00:02:14.314
pubmed,node2vec,256,10,10,0.5,0.25,0.7833557678069382,0.7948782961460447,0.7948782961460447,00:02:16.144
